County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Harrison,4/5N,"4,200","4,344","3,200","1,144","51,900","11,607","3,063",608,"20,509",,,
Hartley,1,"1,475",670,606,64,"4,561",861,196,94,"1,669",,,
Haskell,2/3,600,908,790,118,"4,831","1,266",123,68,"1,872",,,
Hays,7,"28,550","25,721","19,655","6,066","183,380","26,187","5,488","1,907","61,462",,,
Hemphill,1,"1,300",969,610,359,"2,827",606,104,98,"1,066",,,
Henderson,4/5N,"5,000","6,167","4,673","1,494","67,238","18,534","2,043",998,"26,544",,,
Hidalgo,11,"160,975","109,643","76,999","32,644","620,824","98,328","54,962","17,074","286,328",,,
Hill,7,"1,900","3,900","2,743","1,157","29,198","7,684",862,523,"11,381",,,
Hockley,1,"1,200","3,120","2,443",677,"17,799","3,453",483,263,"6,829",,,
Hood,2/3,"4,500","6,556","5,359","1,197","50,193","15,416","1,720",867,"16,867",,,
Hopkins,4/5N,"3,100","2,163","1,635",528,"29,175","6,887","1,192",620,"11,166",,,
Houston,4/5N,"2,000","2,157","1,438",719,"18,929","5,176",634,538,"7,399",,,
Howard,9/10,"3,100","2,682","1,747",935,"29,544","4,813","1,456",454,"12,143",,,
Hudspeth,9/10,300,550,412,138,"3,979",775,33,0,"1,778",,,
Hunt,2/3,"8,150","8,962","6,214","2,748","77,878","15,810","4,112",947,"31,096",,,
Hutchinson,1,"1,000","2,281","1,641",640,"16,258","3,581",504,246,"6,098",,,
Irion,9/10,0,181,127,54,"1,234",328,15,0,429,,,
Jack,2/3,"1,100","1,145",852,293,"7,230","1,515",198,149,"2,732",,,
Jackson,8,"3,750","2,536","1,947",589,"11,425","2,720",380,237,"4,205",,,
Jasper,4/5N,"7,200","4,442","3,945",497,"28,056","7,187","1,597",374,"11,687",,,
Jeff Davis,9/10,200,650,600,50,"2,180",812,28,0,685,,,
Jefferson,6/5S,"41,200","20,246","16,025","4,221","197,382","37,595","13,127","2,431","90,120",,,
Jim Hogg,11,300,"1,104",706,398,"3,791",890,14,60,"1,572",,,
Jim Wells,11,"6,675","6,422","5,348","1,074","30,579","6,358","3,897",985,"12,474",,,
Johnson,2/3,"7,400","14,482","10,167","4,315","135,345","25,151","3,559","1,471","53,224",,,
Jones,2/3,500,"1,572","1,202",370,"17,011","3,188",337,254,"6,981",,,
Karnes,8,"2,000","1,726","1,337",389,"12,669","2,211",370,244,"5,177",,,
Kaufman,2/3,"5,550","12,582","8,724","3,858","102,341","16,113","2,857","1,189","40,613",,,
Kendall,8,"2,900","5,782","4,181","1,601","37,890","9,152","1,091",801,"12,702",,,
Kenedy,11,0,121,111,10,321,68,1,0,139,,,
Kent,2/3,0,158,110,48,615,201,13,60,198,,,
Kerr,8,"5,300","5,738","4,401","1,337","43,793","14,769","2,805","1,022","13,990",,,
Kimble,9/10,700,680,599,81,"3,651","1,288",90,0,"1,243",,,
King,1,0,34,27,7,205,51,7,0,69,,,
Kinney,8,200,471,404,67,"3,050",910,11,0,"1,171",,,
Kleberg,11,"10,175","7,629","6,790",839,"24,188","4,046","1,401",341,"9,265",,,
Knox,2/3,700,847,663,184,"2,808",736,95,127,976,,,
La Salle,8,"4,400","2,351","1,715",636,"6,212","1,018",22,60,"2,410",,,
Lamar,4/5N,"6,500","5,808","4,314","1,494","39,402","9,726","3,115",745,"14,986",,,
Lamb,1,600,"2,196","1,608",588,"9,740","2,240",454,226,"3,968",,,
